No,Category,Word,POS,Phonetic,Meaning,Synonym,Example_EN,Example_JA,Level
0146,,establish,動,/ɪˈstæbɫɪʃ/,を設立する、を制定する,,The CEO decided to establish another company somewhere in South America.,CEOは南米のどこかに，もう１つ会社を設立することを決めた。,基本単語
0147,,intensive,形,/ˌɪnˈtɛnsɪv/,集中的な、徹底的な,,You should do intensive exercise for at least 30 minutes every day.,あなたは，毎日少なくとも30分間は集中的な運動をするべきだ。,基本単語
0148,,content,名,"/ˈkɑntɛnt/, /kənˈtɛnt/",中身、内容,,I didn’t know the content of the box until I opened it.,私はその箱を開けるまで，その中身を知らなかった。,基本単語
0149,,recommend,動,/ˌɹɛkəˈmɛnd/,を推薦する、を勧める,,The chef recommended that I should try the seasonal fish.,そのシェフは，旬の魚を試しに食べてみるよう勧めた。,基本単語
0150,,gain,動 / 名,/ˈɡeɪn/,（利益などを）獲得する、を増す / 利益、増加,,The athlete won a gold medal at the Olympics.,そのアスリートは，オリンピックで金メダルを獲得した。,基本単語
0151,,diversity,名,"/daɪˈvɝsɪti/, /dɪˈvɝsɪti/",多樣性,,Diversity in the workplace is an important topic in our global society.,職場の多様性は，私たちのグローバル社会における重要なテーマだ。,基本単語
0152,,layer,名 / 動,/ˈɫeɪɝ/,層、重なり / を層状にする,,"The cake has several layers of chocolate, each of which tastes slightly different.",そのケーキはチョコレートが何層にも重なっていて，それぞれ少し異なる味がする。,基本単語
0153,,initial,形 / 名,/ˌɪˈnɪʃəɫ/,初めの、初期の / 頭語、頭文字,,My initial reaction to the news was shock more than surprise.,そのニュースに対する私の最初の反応は，驚きというよりもショックだった。,基本単語
0154,,critical,形,/ˈkɹɪtɪkəɫ/,①批判的な ②重大な,,She complained that her boss was always critical about her work.,彼女は，自分の上司がいつも彼女の仕事にけちをつけると不満を口にした。,基本単語
0155,,closely,副,/ˈkɫoʊsɫi/,詳細に、綿密に、接近して,,The doctor closely checked the neck of the patient.,医師はその患者の首を詳しく診察した。,基本単語
0156,,beside,前,"/ˌbiˈsaɪd/, /bɪˈsaɪd/",のそばに［で］,,We’re having a barbecue beside the river next Sunday.,次の日曜日，川の近くでバーベキューをします。,基本単語
0157,,artificial,形,/ˌɑɹtəˈfɪʃəɫ/,人工の、人工的な,,There is an artificial pond in the centre of the park.,その公園の中央部には人工の池がある。,基本単語
0158,,civilisation,名,/ˌsɪv.ɪ.laɪˈzeɪ.ʃən/,文明、文化,,The ancient civilisation of Egypt is perhaps the most well-known in the world.,古代エジプト文明は，おそらく世界で最もよく知られている。,基本単語
0159,,marine,形,/mɝˈin/,海岸の、海の,,Human activity has caused serious damage to the local marine life.,人間の活動が，その地域の海洋生物に深刻な被害を及ぼしている。,基本単語
0160,,equal,形 / 動,/ˈikwəɫ/,等しい、平等な / に等しい,,Her skill is almost equal to that of a professional pianist.,彼女のテクニックは，プロのピアニストにほぼ匹敵する。,基本単語
0161,,fundamental,形,"/ˌfəndəˈmɛnəɫ/, /ˌfəndəˈmɛntəɫ/",[形] 基本的な、根本的な,,"Needless to say, it is important to respect fundamental human rights.",言うまでもなく，基本的人権を尊重することは大切だ。,基本単語
0162,,concentrate,動,/ˈkɑnsənˌtɹeɪt/,[動] (concentrate (...) on 〜で) (...)を〜に集中する,,I can’t concentrate on my homework because of the construction work noise.,建設工事の騒音のせいで，私は宿題に集中できない。,基本単語
0163,,conclusion,名,/kənˈkɫuʒən/,[名] 結論、結末,,The surprising conclusion made the novel popular all over the world.,その意外な結末のおかげで，その小説は世界中で人気となった。,基本単語
0164,,insight,名,/ˈɪnˌsaɪt/,[名] 洞察（力）、見抜くこと,,The writer has great insight into human behaviour and emotions.,その作家は，人間の行動や感情について鋭い洞察力を持っている。,基本単語
0165,,operate,動,"/ˈɑpɝˌeɪt/, /ˈɔpɝˌeɪt/",[動] ①が作動する、を操作する ②営業する,,We need some workers who can operate the machine.,私たちには，その機械を操作できる作業員が何人か必要だ。,基本単語
0166,,monument,名,"/ˈmɑnjəmənt/, /ˈmɑnjumənt/",[名] 記念碑,,The museum includes a monument to peace that attracts many tourists.,その博物館には大勢の観光客を引きつける平和の記念碑がある。,基本単語
0167,,wisdom,名,/ˈwɪzdəm/,[名] 知恵、賢明さ,,The older woman shared her wisdom with the young students.,その年配の女性は，若い学生たちに彼女の知恵を話して聞かせた。,基本単語
0168,,worth,形,/ˈwɝθ/,[形] 〜の価値がある,,He said that the TV programme was not worth watching.,彼は，そのテレビ番組は見るほどの価値がないと言った。,基本単語
0169,,confidence,名,/ˈkɑnfədəns/,[名] ①信頼 ②自信,,All the team members have confidence in the coach’s ability and experience.,チームのメンバー全員が，そのコーチの能力と経験を信頼している。,基本単語
0170,,require,動,"/ˌɹiˈkwaɪɝ/, /ɹiˈkwaɪɹ/, /ɹɪˈkwaɪɝ/",[動] ①を必要とする ②を要求する,,It requires a lot of time and effort to win a gold medal.,金メダルを獲得するには，多くの時間と努力が必要だ。,基本単語
0171,,analyse,動,,[動] を分析する,,"By analysing the online data, you’ll see a trend.",そのオンラインデータを分析すれば，ある傾向がわかるだろう。,基本単語
0172,,constant,形,/ˈkɑnstənt/,[形] 一定の、絶え間のない,,You should drive at a constant speed on a highway.,高速道路では，一定の速度で運転する必要がある。,基本単語
0173,,phase,名,/ˈfeɪz/,[名] フェーズ、段階,,"After a big success, our company entered a new phase of growth.",大成功を収めた後，当社は新たな成長段階に入った。,基本単語
0174,,cope with,動,,〜にうまく対処する,,"Since the manager was taking a day off, I had to cope with the problem.",マネージャーが休みを取っていたので，私がその問題に対処しなければならなかった。,基本単語
0175,,considerable,形,/kənˈsɪdɝəbəɫ/,[形] かなりの,,The couple spent a considerable amount of money on their wedding.,そのカップルは，自分たちの結婚式にかなりの金額を費やした。,基本単語
0176,,instruction,名,/ˌɪnˈstɹəkʃən/,[名] ①指示 ②教育 ③取扱説明書,,"Follow the instructions, or you may get injured.",その指示に従いなさい。さもないと，けがをするかもしれませんよ。,基本単語
0177,,majority,名,/məˈdʒɔɹəti/,[名] 大多数、過半数,,A majority of voters were against raising taxes.,有権者の大多数は増税に反対だった。,基本単語
0178,,scale,名,/ˈskeɪɫ/,[名] 規模、尺度,,It is important to calculate the scale of a future disaster.,将来起こる災害の規模を推定することが重要だ。,基本単語
0179,,domestic,形,/dəˈmɛstɪk/,[形] ①国内の ②家庭の,,You need to take a domestic flight to get to that island.,あの島に行くには，国内線に乗る必要がある。,基本単語
0180,,height,名,/ˈhaɪt/,[名] 高さ、身長,,That building is about 100 metres in height.,あの建物は，約100メートルの高さがある。,基本単語
0181,,corridor,名,"/ˈkɔɹədɝ/, /ˈkɔɹɪdɝ/",[名] 廊下,,I walked down the corridor towards the meeting room.,私は廊下を歩いて会議室に向かった。,基本単語
0182,,investigation,名,/ˌɪnˌvɛstəˈɡeɪʃən/,[名] 調査、検査,,"It has been three months since the accident, but it’s still under investigation.",その事故から３か月が経ったが，まだ調査が継続中だ。,基本単語
0183,,demonstrate,動,/ˈdɛmənˌstɹeɪt/,[動] ①を実演する ②を明確に示す ③を証明する,,The CEO appeared on the stage and demonstrated the new product to the audience.,CEOが壇上に登場し，聴衆に新製品を実演してみせた。,基本単語
0184,,approximately,副,/əˈpɹɑksəmətɫi/,[副] およそ、約,,The meeting lasted approximately two hours but it went by quickly.,その会議は２時間ほど続いたが，時間がとても早く過ぎた。,基本単語
0185,,identity,名,/aɪˈdɛntɪˌti/,[名] 身元、自己同一性,,I thought the man was trying to hide his identity because he was acting strangely.,その男性は奇妙な振る舞いをしていたので，私は彼が自分の身元を隠そうとしているのだと思った。,基本単語
0186,,adapt,動,/əˈdæpt/,[動] ①(adapt ... to 〜で) ...を〜に適合させる ②(adapt to 〜で) 〜に適応する,,"In general, it is easier for young people to adapt to a new environment.",一般論として，若者の方が新しい環境に適応しやすい。,基本単語
0187,,complicated,形,/ˈkɑmpɫəˌkeɪtəd/,[形] ①複雑な、込み入った ②難しい,,There are many places in the world where the political situation is complicated.,世界には，政治情勢が複雑な地域が数多くある。,基本単語
0188,,notion,名,/ˈnoʊʃən/,[名] 考え、概念,,I believe in the notion that the rich should help the poor.,私は，裕福な人が困窮している人を助けるべきだという考えが正しいと信じている。,基本単語
0189,,structure,名,/ˈstɹəktʃɝ/,[名] 構造、構成,,The architect designed the tall structure about thirty years ago.,その建築家が，この高い建造物を30年ほど前に設計した。,基本単語
